A0A2U3U0J3	0	chr1	+	65419	71585	65433,65573	65520,69037
P42345	0	chr1	-	11166592	11322608	11167557,11168343,11169427,11169786,11172974,11174510,11174944,11175525,11177143,11181425,11182183,11184690,11186853,11187201,11187863,11188183,11188609,11189008,11189895,11190834,11193254,11194523,11199492,11199715,11204812,11205102,11206848,11210283,11217348,11227574,11259460,11259760,11264760,11269515,11270963,11272531,11272965,11273623,11276291,11288975,11291111,11291491,11292585,11293544,11294322,11298105,11298674,11300604,11301738,11303357,11307790,11308151,11314030,11316249,11317222,11318650,11319480	11168238,11169347,11169706,11172909,11174375,11174870,11175453,11177061,11181303,11182036,11184555,11186679,11187067,11187681,11188061,11188511,11188912,11189795,11190586,11193137,11194408,11199361,11199590,11204705,11205025,11206733,11210183,11217209,11227499,11259315,11259598,11264618,11269369,11270871,11272369,11272853,11273456,11276205,11288725,11290982,11291357,11292493,11293455,11294200,11297900,11298459,11300360,11301610,11303171,11307682,11307876,11313896,11316049,11316990,11318542,11319305,11322502
O43827	0	chr1	+	11249412	11256038	11250012,11252427,11253831,11254716	11252327,11253637,11254518,11254911
Q9Y5Z9	0	chr1	+	11333255	11348491	11334117	11345701
Q9P2K9	0	chr1	+	11539212	11597608	11539429,11562145,11562954,11574583,11575560,11576218,11577659,11579560,11579937,11580905,11584112,11585369,11586892,11589743,11590016,11591090,11591767,11594597,11595181,11595701	11561047,11562735,11574447,11575426,11576058,11577520,11579412,11579776,11580744,11583999,11585233,11586708,11589613,11589844,11590964,11591622,11594438,11595068,11595535,11596381
Q9UK22	0	chr1	-	11708444	11714486	11708885,11709282,11709931,11710131,11710891	11709144,11709836,11710002,11710523,11714376
Q9H4M3	0	chr1	+	11714934	11723384	11715009,11716157,11718450,11718685,11718928	11715863,11718324,11718590,11718793,11721187
Q9NRD1	0	chr1	+	11724257	11734411	11724312,11729001,11731449,11732080,11733469	11728713,11731323,11731985,11733334,11733672
Q9UI95	0	chr1	-	11734537	11741205	11734873,11735231,11735788,11736197,11737005,11737671,11740528,11740670	11735139,11735715,11736103,11736905,11737600,11740410,11740619,11741096
Q8NBI3	0	chr1	+	11751767	11785914	11751910,11766766,11769522,11772022,11772486,11775265	11766306,11769332,11771908,11772397,11775176,11779641
Q6RW13	0	chr1	+	11796193	11810826	11796292,11805894,11807602,11808667	11805860,11807497,11808472,11810134
A0A8I5KXP5	0	chr1	+	11822250	11849642	11822362,11824527,11827142,11827321,11828332,11829184,11831693,11832316,11835667,11836695,11838873,11839137,11840067,11842390,11844650,11845346,11847550,11848104,11848435,11848803	11824388,11825914,11827278,11828134,11829030,11831581,11832139,11835492,11836521,11838717,11838983,11839859,11842246,11844231,11845205,11847445,11847930,11848206,11848709,11849327
P42898	0	chr1	-	11845780	11866021	11850955,11851383,11852436,11854146,11854595,11854920,11855405,11856456,11860379,11861456,11863186	11851264,11852335,11853964,11854415,11854786,11855155,11856263,11860269,11861218,11862938,11865945
P51797	0	chr1	+	11866248	11903187	11866406,11867247,11875968,11876737,11879611,11882858,11883890,11884610,11886271,11887278,11888276,11888681,11889379,11893695,11894087,11894452,11894647,11896210,11897213,11897556,11898499,11898717	11867188,11875903,11876672,11879545,11882752,11883764,11884543,11886213,11887146,11888163,11888515,11889253,11893572,11893934,11894293,11894541,11896024,11897056,11897400,11898392,11898592,11900200
P01160	0	chr1	-	11905766	11907840	11906071,11907496	11907170,11907619
P16860	0	chr1	-	11917521	11919002	11917728,11918526	11918271,11918759
Q8IYS2	0	chr1	-	11979648	11986484	11980389,11983546	11982693,11985262
Q02809	0	chr1	+	11994774	12035594	11994912,12008124,12009963,12010577,12012792,12014950,12017071,12018000,12018704,12020824,12023693,12024357,12024842,12025650,12026373,12027148,12030873,12033054	12008033,12009830,12010414,12012680,12014887,12016974,12017899,12018573,12020703,12023589,12024232,12024701,12025537,12026308,12027044,12030727,12032929,12034710
O95140	0	chr1	+	12040501	12073565	12040541,12042171,12049400,12052747,12056375,12057478,12058935,12059152,12061611,12061893,12062160,12064175,12064670,12064984,12065988,12066750,12067306,12069783	12042027,12049222,12052612,12056213,12057354,12058827,12059045,12061458,12061826,12062039,12064049,12064566,12064882,12065768,12066595,12067110,12069649,12071553
Q5JXC2	0	chr1	+	12079555	12092102	12079609,12081897,12082499,12082974,12089198,12089338,12089951,12090181,12091460	12081702,12082152,12082890,12089090,12089280,12089822,12090085,12091323,12091779
P28908	0	chr1	+	12123360	12204264	12123718,12144608,12157274,12164588,12169713,12170261,12172071,12175786,12183434,12183884,12186109,12186293,12195670,12198493	12144521,12157158,12164436,12169623,12170098,12171955,12175634,12183341,12183772,12186008,12186240,12195645,12198286,12202344
P20333	0	chr1	+	12227048	12269277	12227226,12248952,12251142,12251980,12252581,12253155,12254089,12254675,12262228	12248853,12251014,12251831,12252488,12252920,12254012,12254641,12262024,12266797
Q5THJ4	0	chr1	+	12290087	12572099	12290177,12294420,12302647,12304493,12304674,12309396,12313883,12316560,12317144,12318160,12320851,12321206,12322137,12327068,12327977,12328933,12331181,12333192,12338095,12339707,12343793,12348370,12351181,12353761,12359441,12364785,12368698,12371682,12371982,12374384,12378394,12379687,12382021,12382803,12383837,12387911,12389975,12393423,12395884,12398362,12401942,12403108,12405566,12406709,12409030,12409431,12414278,12416147,12416581,12418657,12422906,12423303,12428646,12429757,12433913,12438645,12439650,12443214,12445432,12446393,12460387,12461757,12464026,12475274,12476880,12516186,12520451,12557685,12567147	12294248,12302570,12304303,12304594,12309280,12313779,12316390,12317044,12317992,12320750,12321005,12321958,12326938,12327902,12328763,12331051,12333060,12335882,12339556,12342762,12348280,12351055,12353581,12359259,12364563,12368488,12371511,12371870,12374172,12378129,12379554,12381866,12382593,12383763,12387705,12389886,12393283,12395762,12398288,12401837,12402956,12405431,12406662,12408880,12409221,12414031,12415956,12416455,12418515,12422776,12423128,12428523,12429522,12433805,12438482,12439542,12443035,12445319,12446244,12460238,12461661,12463878,12475140,12476713,12516054,12520256,12557554,12566907,12568947
O75911	0	chr1	-	12627939	12678216	12628453,12632881,12638984,12639440,12640694,12677864	12632756,12638746,12639321,12640551,12677159,12677866
Q5VUY2	0	chr1	+	12704104	12727087	12704733,12711358,12721865	12711142,12721802,12725972
Q5VUY0	0	chr1	+	12776113	12788727	12776347,12779693,12780948,12786443	12779477,12780885,12785189,12786445
Q8N1D5	0	chr1	+	12806148	12823847	12806489,12815763,12819420,12822091	12815650,12819243,12820703,12822305
O95522	0	chr1	+	12833881	12838049	12835297,12836261	12835686,12837154
O95521	0	chr1	+	12851546	12856777	12851581,12851623,12853663,12854642,12855834	12851583,12853352,12854064,12855587,12855846
O60813	0	chr1	-	12884468	12891264	12885361,12887689,12888664	12887108,12888357,12891210
O60812	0	chr1	-	12907230	12908573	12908323	12908534
O60811	0	chr1	+	12916941	12921764	12917002,12919151,12920126	12918840,12919548,12921076
O60810	0	chr1	-	12939033	12946025	12939926,12942256,12943231	12941675,12942923,12945971
O60809	0	chr1	-	12952727	12958101	12953305,12954995,12955460,12955703	12954417,12955392,12955462,12958047
Q5VXH5	0	chr1	+	12976430	12980571	12976507,12977799,12978757	12977488,12978182,12979672
Q5VXH4	0	chr1	-	12998302	13007406	12999066,13001395,13002370	13000814,13002062,13007343
A3QJZ6	0	chr1	+	13035543	13038381	13035835,13036800	13036222,13037808
A3QJZ7	0	chr1	-	13052394	13052998		
B2RXH8	0	chr1	-	13182960	13184326	13184053	13184265
none	0	chr1	-	13216356	13219581	13217249	13219000
J3KPD8	0	chr1	-	13328196	13331692	13329406,13330992	13330414,13331379
Q5TYX0	0	chr1	+	13359819	13369057	13359896,13365177,13366425	13364869,13365844,13368172
Q5VWM4	0	chr1	-	13386646	13390765	13387543,13389033,13389727	13388458,13389416,13390708
Q5VWM5	0	chr1	+	13421176	13428191	13421253,13424295,13425548	13423987,13424967,13427298
Q5VWM6	0	chr1	-	13447429	13452656	13447967,13448179,13448608,13449688,13449787,13450098,13450861	13448085,13448200,13449560,13449729,13449802,13450550,13452579
Q5VWM3	0	chr1	-	13474689	13477522	13475262,13476849	13476271,13477236
Q5VWM1	0	chr1	+	13495254	13498260	13495570,13496545	13495967,13497570
Q5VT98	0	chr1	+	13516066	13526943	13516160,13522259,13524315	13521969,13523737,13526312
Q5VWM5	0	chr1	+	13641973	13648988	13642050,13645092,13646345	13644784,13645764,13648095
Q5SWL7	0	chr1	-	13668269	13673511	13669463,13670993,13671716	13670415,13671405,13673434
Q5SWL8	0	chr1	-	13694889	13698405	13696098,13697685	13697107,13698072
Q5VTA0	0	chr1	+	13716092	13719089	13716404,13717379	13716801,13718404
Q5VT98	0	chr1	+	13736907	13747803	13737001,13743098,13745175	13742808,13744597,13747172
Q5VT99	0	chr1	-	13801441	13840498	13802567	13839458
Q86YL7	0	chr1	+	13910327	13944452	13910595,13933801,13937011,13940220,13940906	13933668,13936882,13940182,13940795,13942400
Q13029	0	chr1	+	14026683	14151574	14026795,14042109,14057612,14059377,14068652,14075982,14099683,14109326,14143065	14042036,14057495,14059274,14068500,14075856,14099573,14104913,14142922,14149654
Q674X7	0	chr1	+	14925181	15444539	14925719,15287371,15361381,15370655,15382776,15386798,15390118,15392249,15420881,15421429,15428270,15429956,15430685,15439037	15287180,15361245,15370485,15382587,15386668,15390068,15392126,15420676,15421311,15428039,15429855,15430519,15438923,15440967
Q9NW97	0	chr1	+	15480243	15546974	15480450,15537058,15541927	15536986,15541391,15545822
A0A804HIA4	0	chr1	+	15573719	15724824	15573891,15578373,15599025,15616162,15623289,15627937,15635232,15639683,15642963,15644424,15651055,15653638,15654925,15656037,15666047,15668384,15671686,15672019,15675645,15679480,15684779,15687199,15689222,15692429,15694118,15695998,15701127,15702226,15707292,15707947,15708689,15714627,15717759	15578267,15598819,15615895,15623180,15627701,15635109,15639553,15642874,15644320,15650948,15653555,15654773,15655842,15665977,15668232,15671579,15671912,15675538,15679373,15684606,15686974,15689138,15692323,15693959,15695866,15700998,15702099,15707197,15707727,15708524,15714547,15717706,15723793
Q96C19	0	chr1	+	15736384	15756835	15736775,15752514,15753780	15752367,15753646,15755089
Q99895	0	chr1	+	15764939	15775737	15765000,15766887,15767086,15769068,15770050,15771246,15772244	15766796,15766989,15768943,15769914,15771101,15772092,15773070
P08217	0	chr1	+	15783227	15798586	15783288,15783669,15788153,15789356,15790017,15792639,15794033	15783581,15788056,15789228,15789881,15792494,15793881,15798485
P08218	0	chr1	+	15802599	15817890	15802660,15803040,15807690,15808888,15809895,15812541,15813932	15802952,15807593,15808760,15809759,15812396,15813780,15817790
P55211	0	chr1	-	15817896	15850710	15819530,15820496,15821947,15831253,15832574,15833570,15834402,15844890	15820387,15821768,15831106,15832485,15833394,15834368,15844605,15850564
Q9Y2G8	0	chr1	+	15853343	15898228	15853453,15855767,15860798,15863309,15871078,15873366,15874923,15886151,15888820,15890606,15890854,15892494,15892675,15893764	15855583,15860732,15862970,15870894,15873262,15874765,15886021,15888637,15890424,15890778,15892414,15892577,15893594,15894273
Q9BSE5	0	chr1	-	15898194	15911546	15900219,15901336,15904359,15905549,15906637,15909890	15901252,15904180,15905354,15906589,15909688,15911191
Q5TDH0	0	chr1	+	15943953	15995539	15944303,15953293,15957056,15960060,15964929,15970145,15976318,15978390,15983174	15953164,15956820,15959934,15964802,15970017,15976215,15978201,15983112,15986332
Q92681	0	chr1	+	15986208	15988528		
Q8IWE5	0	chr1	+	16010815	16061264	16011113,16042838,16043311,16044487,16045120,16046415,16047883,16052040,16054327,16054643,16054852,16055228,16055685,16056424,16057217,16057752,16058543,16059024,16059223	16042732,16043202,16044388,16045033,16046229,16047824,16051812,16053509,16054574,16054762,16055164,16055597,16056292,16057027,16057687,16058384,16058845,16059107,16060292
Q6PIV7	0	chr1	+	16062753	16067887	16063358,16064489,16064740,16065223	16064424,16064588,16065089,16065719
A0PJX8	0	chr1	+	16068994	16074477	16069142,16069402,16069689,16071075,16073549	16069330,16069515,16070655,16073362,16074041
Q8WUP2	0	chr1	+	16085290	16113084	16085343,16091180,16091728,16094058,16095125,16097073,16101291,16103782	16090991,16091459,16093871,16095023,16096904,16101113,16103665,16111043
A0A096LP55	0	chr1	-	16133869	16134144		
Q96T58	0	chr1	+	16174202	16266951	16174645,16199631,16203173,16235976,16237796,16242774,16245546,16246012,16247478,16248844,16262761,16264140,16264501,16265371	16199311,16202697,16235816,16237596,16242623,16245421,16245899,16247365,16248744,16254586,16263658,16264307,16265213,16265791
Q13105	0	chr1	-	16268364	16302596	16268747,16268915,16269233,16269689,16270014,16270210,16270390,16271095,16271334,16271697,16272335,16272789,16273618,16274992,16299620	16268826,16269024,16269559,16269894,16270094,16270303,16270795,16271192,16271432,16272210,16272649,16273430,16274786,16299534,16302478
Q8NEQ6	0	chr1	+	16330731	16335302	16330880	16332414
Q9UBY9	0	chr1	-	16340524	16344538	16342254,16343702	16343569,16344260
P51800	0	chr1	+	16348531	16360545	16348558,16349214,16350423,16351386,16352742,16353108,16353270,16353930,16354400,16354614,16355340,16355794,16356295,16356570,16357169,16358338,16358786,16359021,16359751	16349108,16350295,16351258,16352603,16353031,16353192,16353805,16354316,16354513,16355256,16355621,16356226,16356460,16356956,16358205,16358698,16358938,16359665,16360106
P51801	0	chr1	+	16370277	16383803	16370375,16371087,16372181,16373158,16374539,16374915,16375077,16375740,16376197,16376411,16377095,16377543,16378042,16378315,16378906,16380267,16382018,16382253,16383003	16370981,16372053,16373030,16374400,16374838,16374999,16375615,16376113,16376310,16377011,16377370,16377973,16378205,16378693,16380134,16381930,16382170,16382917,16383364
Q96AQ9	0	chr1	-	16384264	16400146	16385212,16386099,16386546,16388687,16389029,16390131	16385989,16386364,16388594,16388994,16390016,16399916
P29317	0	chr1	-	16450832	16482564	16451815,16456084,16456914,16458365,16458768,16458934,16459863,16460101,16460410,16461062,16461684,16462265,16464680,16464925,16475542,16477458	16455929,16456721,16458216,16458559,16458873,16459675,16459976,16460355,16460963,16461531,16462150,16464348,16464770,16474873,16477391,16482343
Q8IW93	0	chr1	-	16524349	16539147	16525239,16525749,16528356,16529069,16531414,16531671,16531920,16532162,16532578,16532835,16533705,16534093,16534272,16534720,16535578	16525645,16528277,16528911,16531254,16531582,16531846,16532033,16532426,16532675,16533443,16534017,16534170,16534439,16535138,16538997
Q5TEV5	0	chr1	-	16555368	16556038	16555558	16555978
Q9BU20	0	chr1	-	16558187	16563678	16558792,16559141,16559512,16560259	16559005,16559388,16560107,16563126
Q6P3S6	0	chr1	-	16573335	16678975	16578280,16578899,16579647,16580226,16582316,16583254,16621412,16632414,16641930	16578783,16579591,16580130,16582206,16583101,16621278,16632298,16641664,16678750
Q7Z422	0	chr1	+	16693737	16724640	16693803,16717919,16719977	16717870,16719723,16721533
Q7Z572	0	chr1	-	16725138	16763919	16725317,16726016,16727387,16730339,16730534,16731599,16735698,16736538,16748052,16748466,16757917,16759419	16725839,16727215,16730222,16730463,16731462,16735613,16736096,16748004,16748406,16757833,16759285,16763623
Q9NVZ3	0	chr1	+	16767219	16786573	16767348,16770227,16774469,16774636,16775696,16778510,16782388	16770127,16774365,16774555,16775588,16778333,16782313,16785337
A6NCW3	0	chr1	+	16865561	16866070		
Q3BBV0	0	chr1	-	16888814	16939982	16890681,16891413,16892300,16892954,16893846,16894525,16895731,16899688,16901187,16901724,16902976,16903914,16905897,16907451,16907987,16909253,16910191,16912193,16913756,16914292,16915558,16916496,16918551,16918808,16920062,16921156,16921504,16935274	16891302,16892128,16892903,16893674,16894474,16895568,16899637,16900982,16901652,16902762,16903812,16905688,16907240,16907915,16909039,16910089,16911984,16913545,16914220,16915344,16916394,16918342,16918654,16919936,16921087,16921426,16935003,16939833
A6NEA5	0	chr1	+	16999498	17000007		
A6NEA5	0	chr1	-	17060447	17060956		
Q5TZA2	0	chr1	+	17248426	17299459	17248573,17249293,17250974,17256526,17256702,17256842,17257089,17257892,17263368,17264232,17264978,17265637,17266588,17270777,17272101,17272900,17273486,17275019,17275421,17277617,17279976,17280852,17281372,17282045,17282651,17285245,17287625,17292387,17292614,17293066,17294913,17295835,17296429,17296948,17297262,17298142	17249158,17250820,17256341,17256619,17256781,17256924,17257786,17263132,17264136,17264895,17265404,17266389,17270595,17271957,17272754,17273256,17274826,17275294,17277448,17279797,17280718,17281229,17281807,17282492,17285078,17287253,17292218,17292494,17292903,17294698,17295611,17296280,17296748,17297131,17297960,17298855
P55001	0	chr1	-	17300997	17307115	17301518,17301837,17302225,17303040,17303289,17303418,17303693,17304809	17301764,17302138,17302996,17303203,17303392,17303604,17304732,17307082
Q9NQ11	0	chr1	-	17312453	17338423	17312853,17313127,17313451,17313764,17314729,17314969,17316265,17316498,17316782,17318353,17318624,17318897,17319076,17320330,17322659,17322795,17322991,17323670,17326637,17326807,17327029,17328598,17328868,17330906,17331316,17331567,17332051,17332273	17312958,17313300,17313541,17314633,17314817,17316186,17316382,17316622,17318229,17318504,17318738,17318981,17320124,17322471,17322749,17322881,17323515,17326506,17326741,17326895,17328529,17328791,17330827,17331187,17331509,17331869,17332179,17338224
A0A087WUM9	0	chr1	-	17331563	17338252	17331567,17332051,17332273	17331869,17332179,17338224
P21912	0	chr1	-	17345217	17380527	17345453,17349225,17350569,17354360,17355231,17359640,17371383	17349103,17350468,17354244,17355095,17359555,17371256,17380443
Q9Y2J8	0	chr1	-	17393256	17445946	17395772,17396711,17397986,17401444,17402318,17405910,17409147,17410332,17411197,17413194,17419028,17420179,17422465,17429554,17431556	17396583,17397901,17401351,17402174,17405759,17409040,17410221,17411094,17413016,17418903,17420062,17422404,17429482,17431373,17445775
Q9ULC6	0	chr1	+	17531623	17572502	17531804,17548965,17550188,17550923,17552423,17552653,17555292,17555546,17556703,17557174,17559465,17563953,17565204,17566278,17567255	17548785,17550116,17550862,17552306,17552528,17555120,17555443,17556580,17557067,17559314,17563809,17565111,17566199,17567130,17570505
